Image,Angle (degrees)
grayscale_Img000261.tif,14.48
grayscale_Img000262.tif,15.38
grayscale_Img000263.tif,15.35
grayscale_Img000264.tif,16.22
grayscale_Img000265.tif,16.5
grayscale_Img000266.tif,16.5
grayscale_Img000267.tif,17.1
grayscale_Img000268.tif,17.25
grayscale_Img000269.tif,17.71
grayscale_Img000270.tif,17.71
grayscale_Img000271.tif,16.0
grayscale_Img000272.tif,15.84
grayscale_Img000273.tif,15.69
grayscale_Img000274.tif,15.4
grayscale_Img000275.tif,15.54
grayscale_Img000276.tif,14.79
grayscale_Img000277.tif,14.22
grayscale_Img000278.tif,14.35
grayscale_Img000279.tif,14.37
grayscale_Img000280.tif,13.79
grayscale_Img000281.tif,13.64
grayscale_Img000282.tif,14.39
grayscale_Img000283.tif,13.95
grayscale_Img000284.tif,13.19
grayscale_Img000285.tif,13.79
grayscale_Img000286.tif,13.94
grayscale_Img000287.tif,14.39
grayscale_Img000288.tif,15.26
grayscale_Img000289.tif,15.4
grayscale_Img000290.tif,13.92
grayscale_Img000291.tif,14.5
grayscale_Img000292.tif,13.48
grayscale_Img000293.tif,14.5
grayscale_Img000294.tif,14.79
grayscale_Img000295.tif,15.07
grayscale_Img000296.tif,14.34
grayscale_Img000297.tif,14.34
grayscale_Img000298.tif,13.47
grayscale_Img000299.tif,13.91
grayscale_Img000300.tif,14.06
grayscale_Img000301.tif,14.07
grayscale_Img000302.tif,14.08
grayscale_Img000303.tif,13.21
grayscale_Img000304.tif,13.79
grayscale_Img000305.tif,12.32
grayscale_Img000306.tif,12.75
grayscale_Img000307.tif,13.49
grayscale_Img000308.tif,13.94
grayscale_Img000309.tif,14.51
grayscale_Img000310.tif,13.65
grayscale_Img000311.tif,13.06
grayscale_Img000312.tif,13.8
grayscale_Img000313.tif,13.04
grayscale_Img000314.tif,13.35
grayscale_Img000315.tif,13.65
grayscale_Img000316.tif,13.35
grayscale_Img000317.tif,13.51
grayscale_Img000318.tif,13.95
grayscale_Img000319.tif,14.54
grayscale_Img000320.tif,15.13
grayscale_Img000321.tif,15.71
grayscale_Img000322.tif,15.24
grayscale_Img000323.tif,15.39
grayscale_Img000324.tif,15.82
grayscale_Img000325.tif,15.98
grayscale_Img000326.tif,16.0
grayscale_Img000327.tif,15.1
grayscale_Img000328.tif,14.95
grayscale_Img000329.tif,15.85
grayscale_Img000330.tif,14.52
grayscale_Img000331.tif,14.66
grayscale_Img000332.tif,14.37
grayscale_Img000333.tif,15.42
grayscale_Img000334.tif,14.81
grayscale_Img000335.tif,13.67
grayscale_Img000336.tif,13.8
grayscale_Img000337.tif,13.67
grayscale_Img000338.tif,13.95
grayscale_Img000339.tif,13.5
grayscale_Img000340.tif,14.38
grayscale_Img000341.tif,14.97
grayscale_Img000342.tif,14.82
grayscale_Img000343.tif,14.99
grayscale_Img000344.tif,15.43
grayscale_Img000345.tif,15.27
grayscale_Img000346.tif,13.08
grayscale_Img000347.tif,13.22
grayscale_Img000348.tif,14.96
grayscale_Img000349.tif,14.95
grayscale_Img000350.tif,15.54
grayscale_Img000351.tif,15.68
grayscale_Img000352.tif,16.53
grayscale_Img000353.tif,17.56
grayscale_Img000354.tif,16.4
grayscale_Img000355.tif,15.97
grayscale_Img000356.tif,15.99
grayscale_Img000357.tif,15.4
grayscale_Img000358.tif,14.51
grayscale_Img000359.tif,14.19
grayscale_Img000360.tif,14.63
grayscale_Img000361.tif,15.23
grayscale_Img000362.tif,15.37
grayscale_Img000363.tif,15.66
grayscale_Img000364.tif,15.37
grayscale_Img000365.tif,15.1
grayscale_Img000366.tif,14.34
grayscale_Img000367.tif,13.03
grayscale_Img000368.tif,13.34
grayscale_Img000369.tif,13.77
grayscale_Img000370.tif,14.37
grayscale_Img000371.tif,14.95
grayscale_Img000372.tif,14.37
grayscale_Img000373.tif,15.11
grayscale_Img000374.tif,15.69
grayscale_Img000375.tif,14.68
grayscale_Img000376.tif,14.53
grayscale_Img000377.tif,14.53
grayscale_Img000378.tif,14.22
grayscale_Img000379.tif,14.52
grayscale_Img000380.tif,14.22
grayscale_Img000381.tif,14.37
grayscale_Img000382.tif,14.37
grayscale_Img000383.tif,14.82
grayscale_Img000384.tif,15.12
grayscale_Img000385.tif,15.12
grayscale_Img000386.tif,16.0
grayscale_Img000387.tif,15.85
grayscale_Img000388.tif,15.72
grayscale_Img000389.tif,16.01
grayscale_Img000390.tif,15.72
grayscale_Img000391.tif,15.85
grayscale_Img000392.tif,16.31
grayscale_Img000393.tif,16.31
grayscale_Img000394.tif,15.23
grayscale_Img000395.tif,15.39
grayscale_Img000396.tif,15.69
grayscale_Img000397.tif,15.39
grayscale_Img000398.tif,15.53
grayscale_Img000399.tif,15.54
grayscale_Img000400.tif,14.95
grayscale_Img000401.tif,15.41
grayscale_Img000402.tif,14.69
grayscale_Img000403.tif,14.84
grayscale_Img000404.tif,15.29
grayscale_Img000405.tif,15.87
grayscale_Img000406.tif,16.3
grayscale_Img000407.tif,15.41
grayscale_Img000408.tif,15.1
grayscale_Img000409.tif,15.69
grayscale_Img000410.tif,15.1
grayscale_Img000411.tif,15.25
grayscale_Img000412.tif,14.35
grayscale_Img000413.tif,14.06
grayscale_Img000414.tif,14.95
grayscale_Img000415.tif,14.95
grayscale_Img000416.tif,14.51
grayscale_Img000417.tif,14.8
grayscale_Img000418.tif,15.54
grayscale_Img000419.tif,15.81
grayscale_Img000420.tif,16.07
grayscale_Img000421.tif,16.35
grayscale_Img000422.tif,16.21
grayscale_Img000423.tif,16.5
grayscale_Img000424.tif,15.91
grayscale_Img000425.tif,15.77
grayscale_Img000426.tif,14.33
grayscale_Img000427.tif,14.04
grayscale_Img000428.tif,14.62
grayscale_Img000429.tif,14.76
grayscale_Img000430.tif,15.22
grayscale_Img000431.tif,15.35
grayscale_Img000432.tif,16.2
grayscale_Img000433.tif,14.63
grayscale_Img000434.tif,14.94
grayscale_Img000435.tif,14.33
grayscale_Img000436.tif,14.49
grayscale_Img000437.tif,13.77
grayscale_Img000438.tif,13.18
grayscale_Img000439.tif,13.33
grayscale_Img000440.tif,13.34
grayscale_Img000441.tif,12.15
grayscale_Img000442.tif,11.86
grayscale_Img000443.tif,12.61
grayscale_Img000444.tif,12.45
grayscale_Img000445.tif,12.58
grayscale_Img000446.tif,13.17
grayscale_Img000447.tif,13.77
grayscale_Img000448.tif,14.04
grayscale_Img000449.tif,14.06
grayscale_Img000450.tif,14.48
grayscale_Img000451.tif,15.23
grayscale_Img000452.tif,15.08
grayscale_Img000453.tif,15.23
grayscale_Img000454.tif,14.5
grayscale_Img000455.tif,14.65
grayscale_Img000456.tif,14.8
grayscale_Img000457.tif,15.25
grayscale_Img000458.tif,15.1
grayscale_Img000459.tif,14.95
grayscale_Img000460.tif,15.39
grayscale_Img000461.tif,15.51
grayscale_Img000462.tif,15.95
grayscale_Img000463.tif,15.39
grayscale_Img000464.tif,14.18
grayscale_Img000465.tif,14.04
grayscale_Img000466.tif,14.03
grayscale_Img000467.tif,14.64
grayscale_Img000468.tif,14.19
grayscale_Img000469.tif,13.89
grayscale_Img000470.tif,14.34
grayscale_Img000471.tif,14.5
grayscale_Img000472.tif,15.23
grayscale_Img000473.tif,15.37
grayscale_Img000474.tif,15.81
grayscale_Img000475.tif,16.36
grayscale_Img000476.tif,14.66
grayscale_Img000477.tif,14.81
grayscale_Img000478.tif,14.35
grayscale_Img000479.tif,14.5
grayscale_Img000480.tif,14.64
grayscale_Img000481.tif,14.92
grayscale_Img000482.tif,15.66
grayscale_Img000483.tif,16.25
grayscale_Img000484.tif,14.66
grayscale_Img000485.tif,13.94
grayscale_Img000486.tif,13.49
grayscale_Img000487.tif,13.62
grayscale_Img000488.tif,13.92
grayscale_Img000489.tif,13.04
grayscale_Img000490.tif,13.63
grayscale_Img000491.tif,13.63
grayscale_Img000492.tif,13.34
grayscale_Img000493.tif,13.93
grayscale_Img000494.tif,13.61
grayscale_Img000495.tif,14.66
grayscale_Img000496.tif,13.05
grayscale_Img000497.tif,12.92
grayscale_Img000498.tif,12.92
grayscale_Img000499.tif,12.63
grayscale_Img000500.tif,12.63
grayscale_Img000501.tif,12.77
grayscale_Img000502.tif,12.78
grayscale_Img000503.tif,13.38
grayscale_Img000504.tif,13.53
grayscale_Img000505.tif,13.82
grayscale_Img000506.tif,13.53
grayscale_Img000507.tif,13.83
grayscale_Img000508.tif,13.8
grayscale_Img000509.tif,14.69
grayscale_Img000510.tif,14.83
grayscale_Img000511.tif,15.12
grayscale_Img000512.tif,15.12
grayscale_Img000513.tif,14.83
grayscale_Img000514.tif,14.99
grayscale_Img000515.tif,15.43
grayscale_Img000516.tif,16.03
grayscale_Img000517.tif,14.4
