Image,Angle (degrees)
grayscale_Img000382.tif,11.49
grayscale_Img000383.tif,11.79
grayscale_Img000384.tif,12.84
grayscale_Img000385.tif,13.29
grayscale_Img000386.tif,13.89
grayscale_Img000387.tif,11.68
grayscale_Img000388.tif,12.44
grayscale_Img000389.tif,13.04
grayscale_Img000390.tif,13.94
grayscale_Img000391.tif,13.94
grayscale_Img000392.tif,13.03
grayscale_Img000393.tif,12.72
grayscale_Img000394.tif,11.94
grayscale_Img000395.tif,12.69
grayscale_Img000396.tif,11.51
grayscale_Img000397.tif,12.25
grayscale_Img000398.tif,13.45
grayscale_Img000399.tif,14.65
grayscale_Img000400.tif,14.65
grayscale_Img000401.tif,14.64
grayscale_Img000402.tif,14.65
grayscale_Img000403.tif,12.28
grayscale_Img000404.tif,12.44
grayscale_Img000405.tif,12.44
grayscale_Img000406.tif,12.74
grayscale_Img000407.tif,12.88
grayscale_Img000408.tif,11.35
grayscale_Img000409.tif,11.05
grayscale_Img000410.tif,10.45
grayscale_Img000411.tif,11.5
grayscale_Img000412.tif,11.64
grayscale_Img000413.tif,10.0
grayscale_Img000414.tif,9.25
grayscale_Img000415.tif,9.54
grayscale_Img000416.tif,10.61
grayscale_Img000417.tif,10.76
grayscale_Img000418.tif,10.45
grayscale_Img000419.tif,10.9
grayscale_Img000420.tif,11.35
grayscale_Img000421.tif,13.0
grayscale_Img000422.tif,13.31
grayscale_Img000423.tif,12.43
grayscale_Img000424.tif,12.43
grayscale_Img000425.tif,11.52
grayscale_Img000426.tif,11.36
grayscale_Img000427.tif,12.4
grayscale_Img000428.tif,12.84
grayscale_Img000429.tif,10.47
grayscale_Img000430.tif,10.62
grayscale_Img000431.tif,10.61
grayscale_Img000432.tif,10.91
grayscale_Img000433.tif,11.66
grayscale_Img000434.tif,11.97
grayscale_Img000435.tif,12.12
grayscale_Img000436.tif,12.72
grayscale_Img000437.tif,12.87
grayscale_Img000438.tif,12.27
grayscale_Img000439.tif,12.42
grayscale_Img000440.tif,12.12
grayscale_Img000441.tif,11.22
grayscale_Img000442.tif,10.93
grayscale_Img000443.tif,10.77
grayscale_Img000444.tif,11.53
grayscale_Img000445.tif,12.28
grayscale_Img000446.tif,12.74
grayscale_Img000447.tif,12.43
grayscale_Img000448.tif,13.18
grayscale_Img000449.tif,12.42
grayscale_Img000450.tif,12.72
grayscale_Img000451.tif,12.42
grayscale_Img000452.tif,11.83
grayscale_Img000453.tif,12.28
grayscale_Img000454.tif,11.98
grayscale_Img000455.tif,11.68
grayscale_Img000456.tif,11.08
grayscale_Img000457.tif,10.16
grayscale_Img000458.tif,9.86
grayscale_Img000459.tif,10.91
grayscale_Img000460.tif,10.91
grayscale_Img000461.tif,11.06
grayscale_Img000462.tif,10.91
grayscale_Img000463.tif,11.06
grayscale_Img000464.tif,10.62
grayscale_Img000465.tif,11.22
grayscale_Img000466.tif,11.83
grayscale_Img000467.tif,11.68
grayscale_Img000468.tif,11.69
grayscale_Img000469.tif,10.47
grayscale_Img000470.tif,11.38
grayscale_Img000471.tif,10.92
grayscale_Img000472.tif,10.17
grayscale_Img000473.tif,10.17
grayscale_Img000474.tif,10.47
grayscale_Img000475.tif,11.67
grayscale_Img000476.tif,12.13
grayscale_Img000477.tif,12.43
grayscale_Img000478.tif,13.18
grayscale_Img000479.tif,12.88
grayscale_Img000480.tif,12.12
grayscale_Img000481.tif,10.77
grayscale_Img000482.tif,10.62
grayscale_Img000483.tif,9.71
grayscale_Img000484.tif,10.01
grayscale_Img000485.tif,10.31
grayscale_Img000486.tif,10.32
grayscale_Img000487.tif,10.17
grayscale_Img000488.tif,10.78
grayscale_Img000489.tif,11.23
grayscale_Img000490.tif,10.93
grayscale_Img000491.tif,11.38
grayscale_Img000492.tif,11.53
grayscale_Img000493.tif,11.38
grayscale_Img000494.tif,11.83
grayscale_Img000495.tif,11.83
grayscale_Img000496.tif,11.67
grayscale_Img000497.tif,11.37
grayscale_Img000498.tif,10.45
grayscale_Img000499.tif,10.16
grayscale_Img000500.tif,9.41
grayscale_Img000501.tif,9.87
grayscale_Img000502.tif,10.02
grayscale_Img000503.tif,10.32
grayscale_Img000504.tif,11.08
grayscale_Img000505.tif,11.53
grayscale_Img000506.tif,12.43
grayscale_Img000507.tif,12.73
grayscale_Img000508.tif,13.03
grayscale_Img000509.tif,13.78
grayscale_Img000510.tif,12.44
grayscale_Img000511.tif,11.99
grayscale_Img000512.tif,10.77
grayscale_Img000513.tif,10.93
grayscale_Img000514.tif,10.62
grayscale_Img000515.tif,11.08
grayscale_Img000516.tif,11.23
grayscale_Img000517.tif,11.38
grayscale_Img000518.tif,12.13
grayscale_Img000519.tif,12.28
grayscale_Img000520.tif,12.73
grayscale_Img000521.tif,12.73
grayscale_Img000522.tif,12.1
grayscale_Img000523.tif,12.54
grayscale_Img000524.tif,12.54
grayscale_Img000525.tif,12.23
grayscale_Img000526.tif,13.76
grayscale_Img000527.tif,13.93
grayscale_Img000528.tif,14.52
grayscale_Img000529.tif,13.93
grayscale_Img000530.tif,13.48
grayscale_Img000531.tif,13.63
grayscale_Img000532.tif,13.04
grayscale_Img000533.tif,11.99
