Image,Angle (degrees)
grayscale_Img000497.tif,8.05
grayscale_Img000498.tif,7.45
grayscale_Img000499.tif,7.29
grayscale_Img000500.tif,7.44
grayscale_Img000501.tif,7.44
grayscale_Img000502.tif,7.9
grayscale_Img000503.tif,7.75
grayscale_Img000504.tif,7.9
grayscale_Img000505.tif,7.9
grayscale_Img000506.tif,8.2
grayscale_Img000507.tif,8.2
grayscale_Img000508.tif,6.99
grayscale_Img000509.tif,7.6
grayscale_Img000510.tif,8.35
grayscale_Img000511.tif,8.05
grayscale_Img000512.tif,8.05
grayscale_Img000513.tif,8.05
grayscale_Img000514.tif,9.11
grayscale_Img000515.tif,7.75
grayscale_Img000516.tif,8.05
grayscale_Img000517.tif,7.14
grayscale_Img000518.tif,7.44
grayscale_Img000519.tif,7.75
grayscale_Img000520.tif,8.2
grayscale_Img000521.tif,8.65
grayscale_Img000522.tif,8.96
grayscale_Img000523.tif,7.45
grayscale_Img000524.tif,7.6
grayscale_Img000525.tif,8.2
grayscale_Img000526.tif,8.51
grayscale_Img000527.tif,8.2
grayscale_Img000528.tif,7.9
grayscale_Img000529.tif,7.75
grayscale_Img000530.tif,8.35
grayscale_Img000531.tif,8.2
grayscale_Img000532.tif,7.9
grayscale_Img000533.tif,8.2
grayscale_Img000534.tif,8.5
grayscale_Img000535.tif,7.9
grayscale_Img000536.tif,8.2
grayscale_Img000537.tif,8.2
grayscale_Img000538.tif,8.35
grayscale_Img000539.tif,7.75
grayscale_Img000540.tif,8.2
grayscale_Img000541.tif,8.05
grayscale_Img000542.tif,8.35
grayscale_Img000543.tif,8.65
grayscale_Img000544.tif,7.75
grayscale_Img000545.tif,7.45
grayscale_Img000546.tif,7.29
grayscale_Img000547.tif,7.74
grayscale_Img000548.tif,8.35
grayscale_Img000549.tif,7.29
grayscale_Img000550.tif,7.3
grayscale_Img000551.tif,8.81
grayscale_Img000552.tif,9.11
grayscale_Img000553.tif,7.3
grayscale_Img000554.tif,7.6
grayscale_Img000555.tif,7.45
grayscale_Img000556.tif,8.2
grayscale_Img000557.tif,7.6
grayscale_Img000558.tif,6.99
grayscale_Img000559.tif,7.6
grayscale_Img000560.tif,7.75
grayscale_Img000561.tif,8.35
grayscale_Img000562.tif,8.35
grayscale_Img000563.tif,6.99
grayscale_Img000564.tif,7.14
grayscale_Img000565.tif,7.6
grayscale_Img000566.tif,8.2
grayscale_Img000567.tif,7.6
grayscale_Img000568.tif,7.59
grayscale_Img000569.tif,7.9
grayscale_Img000570.tif,8.35
grayscale_Img000571.tif,8.5
grayscale_Img000572.tif,8.2
grayscale_Img000573.tif,7.75
grayscale_Img000574.tif,7.6
grayscale_Img000575.tif,8.5
grayscale_Img000576.tif,8.05
grayscale_Img000577.tif,6.99
